payment_type,orders_placed,orders_paid,orders_delivered,total_revenue,revenue_per_placed_order,paid_from_placed_rate,delivered_from_paid_rate,delivered_from_placed_rate
credit_card,74975,72065,69996,11974054.65155,159.70729778659555,0.961187062354118,0.9712898078123916,0.9335911970656886
boleto,19784,19066,18496,2746933.7798,138.8462282551557,0.9637080469065912,0.9701038497849576,0.9348968863728265
voucher,3151,3018,2853,361286.5887,114.65775585528404,0.9577911774039988,0.9453280318091452,0.9054268486194859
debit_card,1527,1471,1429,204991.74985,134.24476087098887,0.9633267845448592,0.9714479945615228,0.9358218729535036
not_defined,3,0,0,0.0,0.0,0.0,,0.0
unknown,1,0,0,0.0,0.0,0.0,,0.0
