variant,orders_placed,orders_paid,orders_delivered,total_revenue,revenue_per_placed_order,paid_conversion_rate
A,49738,47247,45870,7533666.56,151.46701837629175,0.9499175680566166
B,49703,48373,46904,7753600.2099,155.9986360964127,0.9732410518479769
